altitude,cadence,combined_pedal_smoothness,distance,enhanced_altitude,enhanced_speed,gps_accuracy,grade,heart_rate,left_right_balance,left_torque_effectiveness,position_lat,position_long,power,right_torque_effectiveness,speed,temperature,timestamp
26,,0,0,26,0,1,,67,,0,-451293569,1730169653,0,0,0,,13-12-2019 01:46
26,,0,0,26,0,1,,67,,0,-451293569,1730169653,0,0,0,,13-12-2019 01:46
26,,0,0,26,0,1,,67,,0,-451293569,1730169653,0,0,0,,13-12-2019 01:46
26,,0,0,26,0,1,0,66,,0,-451293569,1730169653,0,0,0,,13-12-2019 01:46
26,,0,0,26,0,1,0,66,,0,-451293569,1730169653,0,0,0,28,13-12-2019 01:46
26,,0,0,26,0,1,0,66,,0,-451293569,1730169653,0,0,0,28,13-12-2019 01:46
26,,0,0,26,0,1,0,66,,0,-451293569,1730169653,0,0,0,28,13-12-2019 01:46
26,,0,0,26,0,1,0,66,,0,-451293569,1730169653,0,0,0,28,13-12-2019 01:46
26,,0,0,26,0,1,0,66,,0,-451293569,1730169653,0,0,0,28,13-12-2019 01:46
26,,0,0,26,0,1,0,65,,0,-451293569,1730169653,0,0,0,28,13-12-2019 01:46
26,,0,0,26,0,1,0,65,,0,-451293527,1730169594,0,0,0,28,13-12-2019 01:46
26,,0,0,26,0,1,0,65,,0,-451293425,1730169459,0,0,0,28,13-12-2019 01:46
26,,0,0,26,0,1,0,66,,0,-451293480,1730169553,0,0,0,28,13-12-2019 01:46
26,,0,0,26,0,1,0,67,,0,-451293515,1730169618,0,0,0,28,13-12-2019 01:46
26,,0,0,26,0,1,0,68,,0,-451293535,1730169628,0,0,0,28,13-12-2019 01:46
26,,0,0,26,0,1,0,69,,0,-451293549,1730169613,0,0,0,28,13-12-2019 01:46
26,,0,0,26,0,1,0,71,,0,-451293549,1730169613,0,0,0,28,13-12-2019 01:46
26,,0,0,26,0,1,0,72,,0,-451293549,1730169613,0,0,0,28,13-12-2019 01:46
26,,0,0,26,0,2,0,75,,0,-451293549,1730169613,0,0,0,28,13-12-2019 01:46
26,,0,0,26,0,1,0,77,,0,-451293549,1730169613,0,0,0,28,13-12-2019 01:46
26,,0,0,26,0,1,0,80,,0,-451293549,1730169613,0,0,0,28,13-12-2019 01:46
26,,0,0,26,0,1,0,82,,0,-451293568,1730169640,0,0,0,28,13-12-2019 01:46
26,,0,0,26,0,1,0,84,,0,-451293634,1730169786,0,0,0,28,13-12-2019 01:46
