,importance
BF_mean,0.15580068719269774
BF_iEMG,0.14480805027275342
BF_rms,0.12452124428592945
ST_mean,0.014790857968517679
ST_iEMG,0.012948260132211998
BF_wl,0.01145727606421627
VM_mean,0.009873981604416248
RF_iEMG,0.009144424255687789
VM_iEMG,0.008976636352021472
BF_var,0.008360044531397747
RF_mean,0.008167524079642208
ST_rms,0.00798139303280706
VM_rms,0.007538147431941844
RF_rms,0.006522425747384708
VM_wl,0.0015505387714807694
VM_var,0.0012561224400593819
t_mid,0.0011777606267511342
ST_wl,0.0009655692975570895
RF_wl,0.0009534985991348944
RF_var,0.0008200828656745651
ST_var,0.0005182922247377264
VM_sent,0.00019008154082423846
BF_mf,0.00013389212074023106
ST_sent,0.00011672642276212563
BF_sent,0.00011585805480532896
VM_mf,9.046965805119545e-05
RF_sent,7.365160423190575e-05
RF_mf,7.209817991659096e-05
ST_mf,6.901504425254057e-05
