,importance
ST_mean,0.1894915389595108
ST_iEMG,0.16527707079324314
ST_rms,0.10553079074682362
BF_mean,0.016056389562891793
BF_iEMG,0.015140085841477436
BF_rms,0.013230604888019503
ST_wl,0.009706809448733634
VM_mean,0.006545509011773576
VM_iEMG,0.00630884872196843
RF_iEMG,0.0059924594480633584
ST_var,0.005732398581977471
RF_mean,0.0054747302227701414
VM_rms,0.0050060826016629974
RF_rms,0.0038010309851261525
t_mid,0.0015561444175339223
VM_wl,0.0011418293809606905
RF_wl,0.0009321310166038987
RF_var,0.0008836448515627815
VM_var,0.000678179428902348
BF_wl,0.0006516213877154175
BF_var,0.0005242770578067435
RF_mf,0.0002902362623413257
BF_sent,0.00025989538085138266
RF_sent,0.00018091438268674764
ST_mf,0.0001392097229919842
BF_mf,0.0001159286968579254
ST_sent,0.00011301754412145204
VM_sent,8.832177290366561e-05
VM_mf,6.341652460456482e-05
