,importance
VM_iEMG,0.1425301648417594
VM_mean,0.14043943612338036
VM_rms,0.09769910624633608
RF_iEMG,0.00800793357747318
RF_mean,0.007337356584227827
BF_mean,0.005864512367276276
ST_mean,0.0058092098493901624
BF_iEMG,0.005516278572164457
ST_iEMG,0.005311473405473333
BF_rms,0.005202368476031583
RF_rms,0.004742665492053111
ST_rms,0.004042076329024013
VM_wl,0.003004311284116612
VM_var,0.0017668976338749086
ST_wl,0.0007543832777474723
RF_wl,0.0007262944317623532
BF_wl,0.0006480281853528779
t_mid,0.0005757523380264362
RF_var,0.0005653385321366833
ST_var,0.0004908276026670877
BF_var,0.00045934055270187014
ST_sent,0.00012268265354310471
RF_sent,8.993981909801718e-05
VM_mf,8.424719140701643e-05
BF_sent,8.075441404515882e-05
BF_mf,7.78238442931678e-05
ST_mf,7.6139408218312e-05
RF_mf,7.429046482139156e-05
VM_sent,7.30010806547221e-05
