personId,date,exercise_activeDuration_in_ms,exercise_steps,exercise_calories,exercise_elevationGain,exercise_averageHeartRate,sleep_duration_in_ms,sleep_minutesAsleep,sleep_minutesAwake,sleep_efficiency
p01,2019-11-02,2458000,3035.0,354,21.34,98.0,25800000,378,52,97.0
p01,2019-11-04,1024000,1284.0,145,21.34,97.0,23940000,361,38,96.0
p01,2019-11-05,2433000,4966.0,517,41.45,118.5,21720000,326,36,99.0
p01,2019-11-08,1844000,2094.0,252,24.38,97.0,23520000,360,32,100.0
p01,2019-11-09,3123000,4185.0,454,64.01,97.0,23460000,344,47,99.0
p01,2019-11-10,2867000,4698.0,470,30.48,106.0,25320000,382,40,99.0
p01,2019-11-11,1260000,3384.0,339,12.5,146.0,21360000,318,38,97.0
p01,2019-11-12,922000,867.0,104,3.05,88.0,25380000,378,45,98.0
p01,2019-11-14,6657000,7742.0,1120,42.67,105.67,22020000,325,42,99.0
p01,2019-11-15,4915000,7178.0,820,82.3,108.33,23100000,342,43,95.0
p01,2019-11-16,3020000,3485.0,480,54.86,104.0,21540000,317,42,93.0
p01,2019-11-17,2202000,2395.0,338,60.96,104.0,22620000,337,40,96.0
p01,2019-11-18,3150000,3288.0,639,285.29,127.0,22320000,330,42,98.0
p01,2019-11-19,973000,1164.0,139,3.05,98.0,21660000,318,43,96.0
p01,2019-11-21,6964000,8519.0,1281,0.0,107.5,22260000,327,44,98.0
p01,2019-11-22,2919000,3311.0,407,27.43,98.67,22320000,333,39,97.0
p01,2019-11-23,7235000,11770.0,1325,440.74,121.5,24600000,356,54,98.0
p01,2019-11-24,4967000,6842.0,815,82.3,106.5,29280000,421,67,95.0
p01,2019-11-25,1332000,1825.0,200,6.1,100.0,22020000,332,35,98.0
p01,2019-11-26,3719000,7728.0,846,394.72,123.33,22260000,318,53,98.0
p01,2019-11-27,2050000,3028.0,303,60.96,94.0,24600000,365,45,97.0
p01,2019-11-28,4403000,5397.0,853,0.0,117.0,23460000,341,50,94.0
p01,2019-11-29,2305000,2859.0,312,21.34,88.5,21660000,309,52,93.0
p01,2019-11-30,3175000,3264.0,402,45.72,89.0,26100000,402,33,97.0
p01,2019-12-01,1178000,1468.0,172,9.14,102.0,25680000,387,41,96.0
p01,2019-12-02,2714000,3183.0,337,36.58,89.0,12780000,190,23,95.0
p01,2019-12-03,3542000,7142.0,794,95.4,119.5,22800000,345,35,98.0
p01,2019-12-05,5325000,6239.0,888,24.38,106.5,21180000,314,39,95.0
p01,2019-12-06,1127000,1620.0,172,30.48,96.0,21540000,290,69,89.0
p01,2019-12-07,2407000,1976.0,268,33.53,88.5,56640000,848,96,94.0
p01,2019-12-08,3430000,4837.0,518,64.01,99.0,26400000,402,38,97.0
p01,2019-12-13,3789000,4776.0,543,30.48,98.0,22140000,337,32,96.0
p01,2019-12-14,1639000,2175.0,243,27.43,97.0,25620000,386,41,97.0
p01,2019-12-15,7527000,10274.0,1079,97.54,96.33,24060000,369,32,97.0
p01,2019-12-16,1076000,1491.0,157,3.05,96.0,23820000,367,30,99.0
p01,2019-12-17,2406000,3272.0,367,27.43,100.0,20940000,309,40,97.0
p01,2019-12-18,3017000,4149.0,456,76.2,106.0,22620000,329,48,94.0
p01,2019-12-19,5325000,7405.0,780,88.39,97.0,20640000,310,34,96.0
p01,2019-12-20,3380000,4487.0,495,30.48,99.5,17640000,267,27,95.0
p01,2019-12-21,7988000,11109.0,1188,100.58,101.33,24900000,385,30,99.0
p01,2019-12-22,3072000,3813.0,494,45.72,106.0,26640000,403,41,97.0
