Activity ID,Activity Name,Description,Begin Timestamp,Begin Timestamp (Raw Milliseconds),End Timestamp,End Timestamp (Raw Milliseconds),Device,Activity Parent,Activity Type,Event Type,Activity Time Zone,Max. Elevation,Max. Elevation (Raw),Begin Latitude (Decimal Degrees Raw),Begin Longitude (Decimal Degrees Raw),End Latitude (Decimal Degrees Raw),End Longitude (Decimal Degrees Raw),Average Moving Speed,Average Moving Speed (Raw),Max. Heart Rate (bpm),Average Heart Rate (bpm),Max. Speed,Max. Speed (Raw),Calories,Calories (Raw),Duration (h:m:s),Duration (Raw Seconds),Moving Duration (h:m:s),Moving Duration (Raw Seconds),Average Speed,Average Speed (Raw),Distance,Distance (Raw),Max. Heart Rate (bpm).1,Min. Elevation,Min. Elevation (Raw),Elevation Gain,Elevation Gain (Raw),Elevation Loss,Elevation Loss (Raw),Temperature (Raw),Wind Speed (Raw),Wind Direction,Humidity (Raw),Condition,Rainfall
2284658991,Freiburg im Breisgau Laufen,,"Sa, Nov 4, 2017 12:07",1509793643000,"Sa, Nov 4, 2017 13:06",1509797186000,vívoactive HR 4.0.0.0,Beliebiger Aktivitätstyp,Laufen,Nicht klassifiziert,(GMT+01:00) Mitteleuropäische Zeit,473 Meter,472.6,48.019178370013826,7.856356333941221,48.01936947740614,7.855830872431397,06:47,6.786783451192187,201.0,182.0,04:55,4.9207753922937,753,752.9796993809099,00:59:03,3542.83,00:58:50,3530.0,06:47 Minuten pro Kilometer,6.7861018152784816,8.67 Kilometer,8.66881,113.0,473 Meter,472.6,315 Meter,315.0,314 Meter,314.0,13.9,11,S,77,fair,no
2284658936,Freiburg im Breisgau Laufen,,"Fr, Nov 3, 2017 9:47",1509698845000,"Fr, Nov 3, 2017 10:35",1509701727000,vívoactive HR 4.0.0.0,Beliebiger Aktivitätstyp,Laufen,Nicht klassifiziert,(GMT+01:00) Mitteleuropäische Zeit,473 Meter,473.2,48.01785914227366,7.8818812407553205,48.01941046491265,7.8559215646237135,06:18,6.296687057938149,199.0,177.0,04:33,4.54504129131887,626,626.0113316881542,00:48:00,2880109.0,00:48:02,2882.0,06:18 Minuten pro Kilometer,6.29168256348911,7.63 Kilometer,7.62835,100.0,473 Meter,473.2,245 Meter,245.0,244 Meter,244.0,11.1,3,N,100,fair,no
2228102647,Freiburg im Breisgau Laufen,,"Mi, Okt 25, 2017 16:31",1508941914000,"Mi, Okt 25, 2017 17:11",1508944273000,vívoactive HR 4.0.0.0,Beliebiger Aktivitätstyp,Laufen,Nicht klassifiziert,(GMT+01:00) Mitteleuropäische Zeit,279 Meter,278.8,48.018395751714706,7.880602246150374,48.01932949572802,7.855920810252428,05:52,5.861981290834204,197.0,179.0,04:29,4.4766764557248235,528,527.9211077751419,00:39:18,2357898.0,00:38:44,2324.0,05:52 Minuten pro Kilometer,5.874750544292464,6.61 Kilometer,6.60755,95.0,279 Meter,278.8,208 Meter,208.0,272 Meter,272.0,20.0,6,SSW,60,fair,no
2104984694,Freiburg im Breisgau Laufen,,"Fr, Okt 13, 2017 11:53",1507888391000,"Fr, Okt 13, 2017 12:41",1507891281000,vívoactive HR 4.0.0.0,Beliebiger Aktivitätstyp,Laufen,Nicht klassifiziert,(GMT+01:00) Mitteleuropäische Zeit,472 Meter,471.6,48.019193960353725,7.856333786621691,48.01931214518846,7.8558944910764685,06:11,6.181441876509141,197.0,180.0,04:27,4.443259661079921,661,661.0946964453632,00:48:10,2890338.0,00:47:57,2877.0,06:11 Minuten pro Kilometer,6.1819977943334425,7.76 Kilometer,7.75709,109.0,472 Meter,471.6,246 Meter,246.0,244 Meter,244.0,17.2,5,SSO,72,fair,no
2084195352,Freiburg im Breisgau Laufen,,"Mo, Okt 2, 2017 14:51",1506948664000,"Mo, Okt 2, 2017 15:38",1506951524000,vívoactive HR 4.0.0.0,Beliebiger Aktivitätstyp,Laufen,Nicht klassifiziert,(GMT+01:00) Mitteleuropäische Zeit,495 Meter,494.6,48.01911617629229,7.857145154848695,48.01937132142485,7.856066403910518,06:01,6.023985903614342,194.0,174.0,04:19,4.324511227489839,619,619.0901236748274,00:47:40,2859788.0,00:47:04,2824.0,06:01 Minuten pro Kilometer,6.023370765424176,7.81 Kilometer,7.813210000000001,110.0,495 Meter,494.6,246 Meter,246.0,240 Meter,240.0,17.8,19,SW,77,mostly cloudy,no
2021230223,Freiburg im Breisgau Laufen,,"Sa, Sep 30, 2017 16:03",1506780220000,"Sa, Sep 30, 2017 16:51",1506783063000,vívoactive HR 4.0.0.0,Beliebiger Aktivitätstyp,Laufen,Nicht klassifiziert,(GMT+01:00) Mitteleuropäische Zeit,482 Meter,481.6,48.01913796924055,7.856386927887797,48.01940686069428,7.85595660097897,05:59,5.991189398271286,192.0,176.0,04:31,4.510599991280568,638,637.944448952511,00:47:23,2843227.0,00:47:20,2840.0,05:59 Minuten pro Kilometer,5.990893701710311,7.90 Kilometer,7.90049,101.0,482 Meter,481.6,239 Meter,239.0,249 Meter,249.0,20.0,14,NNW,64,mostly cloudy,no
2006998728,Freiburg im Breisgau Laufen,,"Mi, Sep 27, 2017 12:29",1506508164000,"Mi, Sep 27, 2017 13:34",1506512062000,vívoactive HR 4.0.0.0,Beliebiger Aktivitätstyp,Laufen,Nicht klassifiziert,(GMT+01:00) Mitteleuropäische Zeit,475 Meter,475.0,48.022312866523855,7.8624572698026896,48.019167138263576,7.857074327766894,07:00,6.993864031841124,191.0,170.0,04:55,4.9207753922937,821,820.9984677877434,01:04:57,3897147.0,01:04:53,3893.0,07:00 Minuten pro Kilometer,6.9998598794375715,9.28 Kilometer,9.27718,99.0,475 Meter,475.0,252 Meter,252.0,248 Meter,248.0,17.2,3,N,83,mostly clear,no
2006998614,Freiburg im Breisgau Laufen,,"Fr, Sep 22, 2017 15:36",1506087371000,"Fr, Sep 22, 2017 16:13",1506089629000,vívoactive HR 4.0.0.0,Beliebiger Aktivitätstyp,Laufen,Nicht klassifiziert,(GMT+01:00) Mitteleuropäische Zeit,458 Meter,458.2,48.01930719986558,7.856598990038037,48.01940493285656,7.856179056689142,05:53,5.889355963793541,196.0,177.0,04:22,4.36757513975644,515,515.0333411296367,00:37:38,2257524.0,00:37:22,2242.0,05:53 Minuten pro Kilometer,5.889281666425159,6.34 Kilometer,6.34478,100.0,458 Meter,458.2,209 Meter,209.0,207 Meter,207.0,21.1,5,NNO,49,fair,no
1988390950,Freiburg im Breisgau Laufen,,"Sa, Sep 16, 2017 12:33",1505558028000,"Sa, Sep 16, 2017 14:04",1505563451000,vívoactive HR 4.0.0.0,Beliebiger Aktivitätstyp,Laufen,Nicht klassifiziert,(GMT+01:00) Mitteleuropäische Zeit,678 Meter,677.6,48.00809657201171,7.899996880441903,48.01947584375739,7.856103954836726,06:34,6.572538158289216,200.0,170.0,04:53,4.880429532310476,"1,102",1101.904048190701,01:30:22,5421814.0,01:27:56,5276.0,06:34 Minuten pro Kilometer,6.572029408091723,13.38 Kilometer,13.3789,92.0,678 Meter,677.6,525 Meter,525.0,518 Meter,518.0,13.9,16,NW,63,showers,yes
1971778346,Freiburg im Breisgau Laufen,,"So, Sep 10, 2017 13:45",1505043950000,"So, Sep 10, 2017 14:54",1505048069000,vívoactive HR 4.0.0.0,Beliebiger Aktivitätstyp,Laufen,Nicht klassifiziert,(GMT+01:00) Mitteleuropäische Zeit,464 Meter,464.2,48.01607748493552,7.879863129928707,48.01940149627625,7.855888456106187,06:16,6.262298723384676,192.0,174.0,04:12,4.192872217994998,941,941.0456274671719,01:08:37,4116816.0,01:07:58,4078.0,06:16 Minuten pro Kilometer,6.258605331646825,10.85 Kilometer,10.85331,123.0,464 Meter,464.2,319 Meter,319.0,320 Meter,320.0,18.9,10,SSW,56,fair,no
1959936581,Freiburg im Breisgau Laufen,,"Di, Sep 5, 2017 15:32",1504618358000,"Di, Sep 5, 2017 16:17",1504621021000,vívoactive HR 4.0.0.0,Beliebiger Aktivitätstyp,Laufen,Nicht klassifiziert,(GMT+01:00) Mitteleuropäische Zeit,438 Meter,438.0,48.020392404869206,7.876742212101817,48.019479867070906,7.855915110558271,06:45,6.751618956307389,195.0,176.0,04:31,4.521613178264238,668,668.01590445869,00:44:22,2662.36,00:43:50,2630.0,06:45 Minuten pro Kilometer,6.750370994036123,6.49 Kilometer,6.4922699999999995,86.0,438 Meter,438.0,197 Meter,197.0,197 Meter,197.0,26.1,11,SSW,48,fair,no
1959936521,Freiburg im Breisgau Laufen,,"So, Sep 3, 2017 8:54",1504421641000,"So, Sep 3, 2017 9:33",1504423993000,vívoactive HR 4.0.0.0,Beliebiger Aktivitätstyp,Laufen,Nicht klassifiziert,(GMT+01:00) Mitteleuropäische Zeit,448 Meter,448.4,48.01868802867829,7.858128435909747,48.01942136138678,7.855924163013697,07:35,7.578722658435966,191.0,170.0,04:27,4.453946073737134,573,573.0282910344104,00:39:11,2350.75,00:39:07,2347.0,07:35 Minuten pro Kilometer,7.5895564271030524,5.16 Kilometer,5.16138,92.0,448 Meter,448.4,218 Meter,218.0,214 Meter,214.0,11.1,6,SSW,87,mostly cloudy,no
1959936468,Freiburg im Breisgau Laufen,,"Do, Aug 31, 2017 16:22",1504189355000,"Do, Aug 31, 2017 17:00",1504191624000,vívoactive HR 4.0.0.0,Beliebiger Aktivitätstyp,Laufen,Nicht klassifiziert,(GMT+01:00) Mitteleuropäische Zeit,463 Meter,463.2,48.019268224015825,7.85692697390914,48.01941264420748,7.855991050601005,05:49,5.821382078838132,198.0,173.0,03:41,3.690581804008656,562,562.0498231512022,00:37:49,2269383.0,00:36:37,2197.0,05:49 Minuten pro Kilometer,5.823433519675253,6.29 Kilometer,6.290030000000001,96.0,463 Meter,463.2,212 Meter,212.0,207 Meter,207.0,17.2,8,WNW,83,mostly cloudy,no
1947513013,Neuf-Brisach Laufen,,"Do, Aug 24, 2017 16:46",1503586003000,"Do, Aug 24, 2017 17:16",1503587803000,vívoactive HR 3.90.0.0,Beliebiger Aktivitätstyp,Laufen,Nicht klassifiziert,(GMT+01:00) Mitteleuropäische Zeit,194 Meter,194.0,48.01525471732021,7.53449996933341,48.01678248681129,7.535735797137022,05:29,5.491086234988997,179.0,135.0,04:53,4.880429532310476,304,304.0558278958096,00:30:00,1800026.0,00:30:00,1800.0,05:29 Minuten pro Kilometer,5.4914880379994955,5.46 Kilometer,5.4634,75.0,194 Meter,194.0,3 Meter,3.0,3 Meter,3.0,23.9,11,S,50,showers,yes
1947512990,Neuf-Brisach Laufen,,"Di, Aug 22, 2017 10:49",1503391788000,"Di, Aug 22, 2017 11:47",1503395243000,vívoactive HR 3.90.0.0,Beliebiger Aktivitätstyp,Laufen,Nicht klassifiziert,(GMT+01:00) Mitteleuropäische Zeit,202 Meter,201.6,48.01659582182765,7.5356758665293455,48.01681919954718,7.535828584805131,05:21,5.3487079660359935,185.0,168.0,04:21,4.345936506097091,768,768.0154271339993,00:57:35,3455203.0,00:57:35,3455.0,05:21 Minuten pro Kilometer,5.3487378059466035,10.77 Kilometer,10.765839999999999,129.0,202 Meter,201.6,28 Meter,28.0,25 Meter,25.0,21.1,5,N,56,fair,no
1947512894,Neuf-Brisach Laufen,,"Mo, Aug 21, 2017 17:25",1503329148000,"Mo, Aug 21, 2017 17:44",1503330244000,vívoactive HR 3.90.0.0,Beliebiger Aktivitätstyp,Laufen,Nicht klassifiziert,(GMT+01:00) Mitteleuropäische Zeit,196 Meter,196.4,48.016336904838674,7.535798577591777,48.01680536940694,7.535721128806473,04:50,4.833972288640167,192.0,169.0,04:06,4.1061016516414215,226,226.01324098691654,00:18:16,1095791.0,00:16:40,1000.0,04:50 Minuten pro Kilometer,4.830917807626247,3.45 Kilometer,3.4478199999999997,100.0,196 Meter,196.4,9 Meter,9.0,5 Meter,5.0,22.8,5,NNW,38,fair,no
