Activity ID,Activity Type,Begin Timestamp,End Timestamp,Max. Elevation (Raw),Min. Elevation (Raw),Elevation Gain (Raw),Elevation Loss (Raw),Average Heart Rate (bpm),Max. Heart Rate (bpm).1,Average Moving Speed,Average Speed,Max. Speed,Distance (Raw),Duration (h:m:s),Moving Duration (h:m:s),Calories,Device,Begin Latitude (Decimal Degrees Raw),Begin Longitude (Decimal Degrees Raw),End Latitude (Decimal Degrees Raw),End Longitude (Decimal Degrees Raw),Temperature (Raw),Wind Speed (Raw),Wind Direction,Humidity (Raw),Condition,Rainfall
2284658991,Running,04/11/2017 12:07,04/11/2017 13:06,472.6,472.6,315,314,182,113,06:47,06:47,04:55,8.66881,00:59:03,00:58:50,753,Vivoactive HR 4.0.0.0,48.01917837,7.856356334,48.01936948,7.855830872,13.9,11,S,77,fair,no
2284658936,Running,03/11/2017 09:47,03/11/2017 10:35,473.2,473.2,245,244,177,100,06:18,06:18,04:33,7.62835,00:48:00,00:48:02,626,Vivoactive HR 4.0.0.0,48.01785914,7.881881241,48.01941046,7.855921565,11.1,3,N,100,fair,no
2228102647,Running,25/10/2017 16:31,25/10/2017 17:11,278.8,278.8,208,272,179,95,05:52,05:52,04:29,6.60755,00:39:18,00:38:44,528,Vivoactive HR 4.0.0.0,48.01839575,7.880602246,48.0193295,7.85592081,20,6,SSW,60,fair,no
2104984694,Running,13/10/2017 11:53,13/10/2017 12:41,471.6,471.6,246,244,180,109,06:11,06:11,04:27,7.75709,00:48:10,00:47:57,661,Vivoactive HR 4.0.0.0,48.01919396,7.856333787,48.01931215,7.855894491,17.2,5,SSO,72,fair,no
2084195352,Running,02/10/2017 14:51,02/10/2017 15:38,494.6,494.6,246,240,174,110,06:01,06:01,04:19,7.81321,00:47:40,00:47:04,619,Vivoactive HR 4.0.0.0,48.01911618,7.857145155,48.01937132,7.856066404,17.8,19,SW,77,mostly cloudy,no
2021230223,Running,30/09/2017 16:03,30/09/2017 16:51,481.6,481.6,239,249,176,101,05:59,05:59,04:31,7.90049,00:47:23,00:47:20,638,Vivoactive HR 4.0.0.0,48.01913797,7.856386928,48.01940686,7.855956601,20,14,NNW,64,mostly cloudy,no
2006998728,Running,27/09/2017 12:29,27/09/2017 13:34,475,475,252,248,170,99,07:00,07:00,04:55,9.27718,01:04:57,01:04:53,821,Vivoactive HR 4.0.0.0,48.02231287,7.86245727,48.01916714,7.857074328,17.2,3,N,83,mostly clear,no
2006998614,Running,22/09/2017 15:36,22/09/2017 16:13,458.2,458.2,209,207,177,100,05:53,05:53,04:22,6.34478,00:37:38,00:37:22,515,Vivoactive HR 4.0.0.0,48.0193072,7.85659899,48.01940493,7.856179057,21.1,5,NNO,49,fair,no
1988390950,Running,16/09/2017 12:33,16/09/2017 14:04,677.6,677.6,525,518,170,92,06:34,06:34,04:53,13.3789,01:30:22,01:27:56,"1,102",Vivoactive HR 4.0.0.0,48.00809657,7.89999688,48.01947584,7.856103955,13.9,16,NW,63,showers,yes
1971778346,Running,10/09/2017 13:45,10/09/2017 14:54,464.2,464.2,319,320,174,123,06:16,06:16,04:12,10.85331,01:08:37,01:07:58,941,Vivoactive HR 4.0.0.0,48.01607748,7.87986313,48.0194015,7.855888456,18.9,10,SSW,56,fair,no
1959936581,Running,05/09/2017 15:32,05/09/2017 16:17,438,438,197,197,176,86,06:45,06:45,04:31,6.49227,00:44:22,00:43:50,668,Vivoactive HR 4.0.0.0,48.0203924,7.876742212,48.01947987,7.855915111,26.1,11,SSW,48,fair,no
1959936521,Running,03/09/2017 08:54,03/09/2017 09:33,448.4,448.4,218,214,170,92,07:35,07:35,04:27,5.16138,00:39:11,00:39:07,573,Vivoactive HR 4.0.0.0,48.01868803,7.858128436,48.01942136,7.855924163,11.1,6,SSW,87,mostly cloudy,no
1959936468,Running,31/08/2017 16:22,31/08/2017 17:00,463.2,463.2,212,207,173,96,05:49,05:49,03:41,6.29003,00:37:49,00:36:37,562,Vivoactive HR 4.0.0.0,48.01926822,7.856926974,48.01941264,7.855991051,17.2,8,WNW,83,mostly cloudy,no
1947513013,Running,24/08/2017 16:46,24/08/2017 17:16,194,194,3,3,135,75,05:29,05:29,04:53,5.4634,00:30:00,00:30:00,304,Vivoactive HR 3.90.0.0,48.01525472,7.534499969,48.01678249,7.535735797,23.9,11,S,50,showers,yes
1947512990,Running,22/08/2017 10:49,22/08/2017 11:47,201.6,201.6,28,25,168,129,05:21,05:21,04:21,10.76584,00:57:35,00:57:35,768,Vivoactive HR 3.90.0.0,48.01659582,7.535675867,48.0168192,7.535828585,21.1,5,N,56,fair,no
1947512894,Running,21/08/2017 17:25,21/08/2017 17:44,196.4,196.4,9,5,169,100,04:50,04:50,04:06,3.44782,00:18:16,00:16:40,226,Vivoactive HR 3.90.0.0,48.0163369,7.535798578,48.01680537,7.535721129,22.8,5,NNW,38,fair,no
