Activity ID,Activity Name,Description,Begin Timestamp,Begin Timestamp (Raw Milliseconds),End Timestamp,End Timestamp (Raw Milliseconds),Device,Activity Parent,Activity Type,Event Type,Activity Time Zone,Max. Elevation,Max. Elevation (Raw),Begin Latitude (Decimal Degrees Raw),Begin Longitude (Decimal Degrees Raw),End Latitude (Decimal Degrees Raw),End Longitude (Decimal Degrees Raw),Average Moving Speed,Average Moving Speed (Raw),Max. Heart Rate (bpm),Average Heart Rate (bpm),Max. Speed,Max. Speed (Raw),Calories,Calories (Raw),Duration (h:m:s),Duration (Raw Seconds),Moving Duration (h:m:s),Moving Duration (Raw Seconds),Average Speed,Average Speed (Raw),Distance,Distance (Raw),Max. Heart Rate (bpm).1,Min. Elevation,Min. Elevation (Raw),Elevation Gain,Elevation Gain (Raw),Elevation Loss,Elevation Loss (Raw),Temperature (Raw),Wind Speed (Raw),Wind Direction,Humidity (Raw),Condition,Rainfall
2284658991,Freiburg im Breisgau Laufen,,"Sa, Nov 4, 2017 12:07",1.50979E+12,"Sa, Nov 4, 2017 13:06",1.5098E+12,vívoactive HR 4.0.0.0,Beliebiger Aktivitätstyp,Laufen,Nicht klassifiziert,(GMT+01:00) Mitteleuropäische Zeit,473 Meter,472.6,48.01917837,7.856356334,48.01936948,7.855830872,6:47,6.786783451,201,182,4:55,4.920775392,753,752.9796994,0:59:03,3542.83,0:58:50,3530,06:47 Minuten pro Kilometer,6.786101815,8.67 Kilometer,8.66881,113,473 Meter,472.6,315 Meter,315,314 Meter,314,13.9,11,S,77,fair,no
2284658936,Freiburg im Breisgau Laufen,,"Fr, Nov 3, 2017 9:47",1.5097E+12,"Fr, Nov 3, 2017 10:35",1.5097E+12,vívoactive HR 4.0.0.0,Beliebiger Aktivitätstyp,Laufen,Nicht klassifiziert,(GMT+01:00) Mitteleuropäische Zeit,473 Meter,473.2,48.01785914,7.881881241,48.01941046,7.855921565,6:18,6.296687058,199,177,4:33,4.545041291,626,626.0113317,0:48:00,2880109,0:48:02,2882,06:18 Minuten pro Kilometer,6.291682563,7.63 Kilometer,7.62835,100,473 Meter,473.2,245 Meter,245,244 Meter,244,11.1,3,N,100,fair,no
2228102647,Freiburg im Breisgau Laufen,,"Mi, Okt 25, 2017 16:31",1.50894E+12,"Mi, Okt 25, 2017 17:11",1.50894E+12,vívoactive HR 4.0.0.0,Beliebiger Aktivitätstyp,Laufen,Nicht klassifiziert,(GMT+01:00) Mitteleuropäische Zeit,279 Meter,278.8,48.01839575,7.880602246,48.0193295,7.85592081,5:52,5.861981291,197,179,4:29,4.476676456,528,527.9211078,0:39:18,2357898,0:38:44,2324,05:52 Minuten pro Kilometer,5.874750544,6.61 Kilometer,6.60755,95,279 Meter,278.8,208 Meter,208,272 Meter,272,20,6,SSW,60,fair,no
2104984694,Freiburg im Breisgau Laufen,,"Fr, Okt 13, 2017 11:53",1.50789E+12,"Fr, Okt 13, 2017 12:41",1.50789E+12,vívoactive HR 4.0.0.0,Beliebiger Aktivitätstyp,Laufen,Nicht klassifiziert,(GMT+01:00) Mitteleuropäische Zeit,472 Meter,471.6,48.01919396,7.856333787,48.01931215,7.855894491,6:11,6.181441877,197,180,4:27,4.443259661,661,661.0946964,0:48:10,2890338,0:47:57,2877,06:11 Minuten pro Kilometer,6.181997794,7.76 Kilometer,7.75709,109,472 Meter,471.6,246 Meter,246,244 Meter,244,17.2,5,SSO,72,fair,no
2084195352,Freiburg im Breisgau Laufen,,"Mo, Okt 2, 2017 14:51",1.50695E+12,"Mo, Okt 2, 2017 15:38",1.50695E+12,vívoactive HR 4.0.0.0,Beliebiger Aktivitätstyp,Laufen,Nicht klassifiziert,(GMT+01:00) Mitteleuropäische Zeit,495 Meter,494.6,48.01911618,7.857145155,48.01937132,7.856066404,6:01,6.023985904,194,174,4:19,4.324511227,619,619.0901237,0:47:40,2859788,0:47:04,2824,06:01 Minuten pro Kilometer,6.023370765,7.81 Kilometer,7.81321,110,495 Meter,494.6,246 Meter,246,240 Meter,240,17.8,19,SW,77,mostly cloudy,no
2021230223,Freiburg im Breisgau Laufen,,"Sa, Sep 30, 2017 16:03",1.50678E+12,"Sa, Sep 30, 2017 16:51",1.50678E+12,vívoactive HR 4.0.0.0,Beliebiger Aktivitätstyp,Laufen,Nicht klassifiziert,(GMT+01:00) Mitteleuropäische Zeit,482 Meter,481.6,48.01913797,7.856386928,48.01940686,7.855956601,5:59,5.991189398,192,176,4:31,4.510599991,638,637.944449,0:47:23,2843227,0:47:20,2840,05:59 Minuten pro Kilometer,5.990893702,7.90 Kilometer,7.90049,101,482 Meter,481.6,239 Meter,239,249 Meter,249,20,14,NNW,64,mostly cloudy,no
2006998728,Freiburg im Breisgau Laufen,,"Mi, Sep 27, 2017 12:29",1.50651E+12,"Mi, Sep 27, 2017 13:34",1.50651E+12,vívoactive HR 4.0.0.0,Beliebiger Aktivitätstyp,Laufen,Nicht klassifiziert,(GMT+01:00) Mitteleuropäische Zeit,475 Meter,475,48.02231287,7.86245727,48.01916714,7.857074328,7:00,6.993864032,191,170,4:55,4.920775392,821,820.9984678,1:04:57,3897147,1:04:53,3893,07:00 Minuten pro Kilometer,6.999859879,9.28 Kilometer,9.27718,99,475 Meter,475,252 Meter,252,248 Meter,248,17.2,3,N,83,mostly clear,no
2006998614,Freiburg im Breisgau Laufen,,"Fr, Sep 22, 2017 15:36",1.50609E+12,"Fr, Sep 22, 2017 16:13",1.50609E+12,vívoactive HR 4.0.0.0,Beliebiger Aktivitätstyp,Laufen,Nicht klassifiziert,(GMT+01:00) Mitteleuropäische Zeit,458 Meter,458.2,48.0193072,7.85659899,48.01940493,7.856179057,5:53,5.889355964,196,177,4:22,4.36757514,515,515.0333411,0:37:38,2257524,0:37:22,2242,05:53 Minuten pro Kilometer,5.889281666,6.34 Kilometer,6.34478,100,458 Meter,458.2,209 Meter,209,207 Meter,207,21.1,5,NNO,49,fair,no
1988390950,Freiburg im Breisgau Laufen,,"Sa, Sep 16, 2017 12:33",1.50556E+12,"Sa, Sep 16, 2017 14:04",1.50556E+12,vívoactive HR 4.0.0.0,Beliebiger Aktivitätstyp,Laufen,Nicht klassifiziert,(GMT+01:00) Mitteleuropäische Zeit,678 Meter,677.6,48.00809657,7.89999688,48.01947584,7.856103955,6:34,6.572538158,200,170,4:53,4.880429532,"1,102",1101.904048,1:30:22,5421814,1:27:56,5276,06:34 Minuten pro Kilometer,6.572029408,13.38 Kilometer,13.3789,92,678 Meter,677.6,525 Meter,525,518 Meter,518,13.9,16,NW,63,showers,yes
1971778346,Freiburg im Breisgau Laufen,,"So, Sep 10, 2017 13:45",1.50504E+12,"So, Sep 10, 2017 14:54",1.50505E+12,vívoactive HR 4.0.0.0,Beliebiger Aktivitätstyp,Laufen,Nicht klassifiziert,(GMT+01:00) Mitteleuropäische Zeit,464 Meter,464.2,48.01607748,7.87986313,48.0194015,7.855888456,6:16,6.262298723,192,174,4:12,4.192872218,941,941.0456275,1:08:37,4116816,1:07:58,4078,06:16 Minuten pro Kilometer,6.258605332,10.85 Kilometer,10.85331,123,464 Meter,464.2,319 Meter,319,320 Meter,320,18.9,10,SSW,56,fair,no
1959936581,Freiburg im Breisgau Laufen,,"Di, Sep 5, 2017 15:32",1.50462E+12,"Di, Sep 5, 2017 16:17",1.50462E+12,vívoactive HR 4.0.0.0,Beliebiger Aktivitätstyp,Laufen,Nicht klassifiziert,(GMT+01:00) Mitteleuropäische Zeit,438 Meter,438,48.0203924,7.876742212,48.01947987,7.855915111,6:45,6.751618956,195,176,4:31,4.521613178,668,668.0159045,0:44:22,2662.36,0:43:50,2630,06:45 Minuten pro Kilometer,6.750370994,6.49 Kilometer,6.49227,86,438 Meter,438,197 Meter,197,197 Meter,197,26.1,11,SSW,48,fair,no
1959936521,Freiburg im Breisgau Laufen,,"So, Sep 3, 2017 8:54",1.50442E+12,"So, Sep 3, 2017 9:33",1.50442E+12,vívoactive HR 4.0.0.0,Beliebiger Aktivitätstyp,Laufen,Nicht klassifiziert,(GMT+01:00) Mitteleuropäische Zeit,448 Meter,448.4,48.01868803,7.858128436,48.01942136,7.855924163,7:35,7.578722658,191,170,4:27,4.453946074,573,573.028291,0:39:11,2350.75,0:39:07,2347,07:35 Minuten pro Kilometer,7.589556427,5.16 Kilometer,5.16138,92,448 Meter,448.4,218 Meter,218,214 Meter,214,11.1,6,SSW,87,mostly cloudy,no
1959936468,Freiburg im Breisgau Laufen,,"Do, Aug 31, 2017 16:22",1.50419E+12,"Do, Aug 31, 2017 17:00",1.50419E+12,vívoactive HR 4.0.0.0,Beliebiger Aktivitätstyp,Laufen,Nicht klassifiziert,(GMT+01:00) Mitteleuropäische Zeit,463 Meter,463.2,48.01926822,7.856926974,48.01941264,7.855991051,5:49,5.821382079,198,173,3:41,3.690581804,562,562.0498232,0:37:49,2269383,0:36:37,2197,05:49 Minuten pro Kilometer,5.82343352,6.29 Kilometer,6.29003,96,463 Meter,463.2,212 Meter,212,207 Meter,207,17.2,8,WNW,83,mostly cloudy,no
1947513013,Neuf-Brisach Laufen,,"Do, Aug 24, 2017 16:46",1.50359E+12,"Do, Aug 24, 2017 17:16",1.50359E+12,vívoactive HR 3.90.0.0,Beliebiger Aktivitätstyp,Laufen,Nicht klassifiziert,(GMT+01:00) Mitteleuropäische Zeit,194 Meter,194,48.01525472,7.534499969,48.01678249,7.535735797,5:29,5.491086235,179,135,4:53,4.880429532,304,304.0558279,0:30:00,1800026,0:30:00,1800,05:29 Minuten pro Kilometer,5.491488038,5.46 Kilometer,5.4634,75,194 Meter,194,3 Meter,3,3 Meter,3,23.9,11,S,50,showers,yes
