Activity Date,Distance,Elapsed Time,Pace_sec_per_km,Elev_gain_per_km,Workload_7d,Workload_Change_%,Injury_Risk,Recovery_Flag,VO2max_est,Calories
2019-12-13 01:46:07,22.97,3859,168001.7414018285,5485.415759686548,0.022969999999999997,,0,0,35.60714285714286,141.0
2019-12-20 23:05:01,29.65,4852,163642.4957841484,3001.6863406408097,0.05262,129.08141053548107,1,0,35.620000000000005,148.0
2019-12-21 23:25:29,32.38,5817,179647.93082149472,5744.286596664607,0.085,61.53553781832004,1,0,35.620000000000005,253.0
2019-12-24 01:19:17,21.68,3851,177629.1512915129,11254.612546125461,0.10668000000000001,25.50588235294118,0,0,35.620000000000005,217.0
2019-12-26 00:09:08,32.36,5843,180562.42274412856,6025.957972805933,0.13904,30.33370828646418,1,0,37.0645,178.0
2019-12-27 23:38:08,32.84,6953,211723.50791717417,7095.006090133983,0.17188,23.61910241657078,0,0,37.0645,241.0
2019-12-31 01:48:12,34.98,5567,159148.08461978275,7833.047455688966,0.20686000000000002,20.351407959041197,0,0,37.0645,535.0
2020-01-02 03:43:00,25.22,3727,147779.54004758128,5551.149881046788,0.20911000000000002,1.0876921589480817,0,0,37.0645,319.0
2020-01-03 23:27:55,45.79,7352,160559.0740336318,9849.31207687268,0.22525,7.718425708957001,0,0,37.078,460.0
2020-01-05 01:30:44,34.01,5913,173860.62922669805,5439.576595119082,0.22687999999999997,0.7236403995560332,0,0,37.078,218.0
2020-01-06 23:16:34,47.69,7623,159844.83120150978,9771.440553575174,0.25289,11.464210155148113,0,0,37.078,544.0
2020-01-18 01:09:07,63.36,9744,153787.87878787878,2919.8232323232323,0.28389,12.2582941199731,0,0,37.105000000000004,347.0
2020-01-18 23:26:33,37.37,5665,151592.1862456516,80.27829810008028,0.28841999999999995,1.5956884708866037,0,0,37.105000000000004,163.0
2020-01-20 23:14:56,37.35,5664,151646.5863453815,80.32128514056225,0.29079,0.8217183274391647,0,0,37.105000000000004,165.0
2020-01-21 20:59:59,19.44,2669,137294.23868312757,2623.4567901234564,0.28501,-1.9876887100656857,0,1,37.105000000000004,254.0
2020-01-24 00:14:17,37.34,5543,148446.70594536688,921.2638965314515,0.27656000000000003,-2.9648082523420083,0,0,37.105000000000004,162.0
2020-01-25 02:49:30,50.89,7690,151110.23776773433,2809.9823147966204,0.29344000000000003,6.103557998264392,0,0,37.105000000000004,631.0
2020-01-27 00:59:24,37.79,5635,149113.52209579255,158.77216194760518,0.28354,-3.3737731733915006,0,0,37.1185,164.0
2020-01-29 01:33:10,50.12,7903,157681.56424581006,917.7972865123703,0.2703,-4.6695351625873,0,0,37.1185,280.0
2020-02-01 21:42:49,20.21,2097,103760.51459673428,791.6872835230083,0.25314,-6.348501664816873,0,1,37.1185,577.0
2020-02-04 03:50:34,47.71,7986,167386.2921819325,2054.076713477258,0.2635,4.09259698190726,0,0,37.132000000000005,587.0
2020-02-07 00:22:14,51.69,7998,154730.1218804411,3404.913909847166,0.29575,12.23908918406072,0,0,37.132000000000005,342.0
2020-02-09 00:37:01,38.41,5705,148529.0288987243,598.8023952095808,0.29682000000000003,0.3617920540997516,0,0,37.132000000000005,340.0
2020-02-10 23:50:17,43.18,6516,150903.19592403888,1922.186197313571,0.28911000000000003,-2.5975338589043844,0,0,37.132000000000005,356.0
2020-02-12 23:24:55,17.89,3678,205589.71492453886,8664.058133035216,0.26921,-6.883193248244622,0,0,37.145500000000006,208.0
2020-02-13 02:20:40,22.52,4153,184413.8543516874,7371.225577264654,0.24161000000000002,-10.252219456929529,0,0,37.145500000000006,240.0
2020-02-14 23:32:52,74.13,9466,127694.590584109,53.95926075812761,0.29553,22.316957079591074,0,1,37.145500000000006,350.0
2020-02-16 03:43:38,42.75,5725,133918.12865497076,140.35087719298244,0.29057,-1.678340608398477,0,1,37.145500000000006,762.0
2020-02-17 22:31:19,40.06,5627,140464.30354468295,973.5396904643034,0.27894,-4.002477888288528,0,1,37.145500000000006,181.0
2020-02-19 23:57:07,40.35,5827,144411.40024783145,2304.8327137546466,0.28088,0.6954900695490059,0,1,37.159000000000006,205.0
2020-02-22 01:13:22,13.56,1945,143436.57817109145,6047.197640117994,0.25126000000000004,-10.54542865280546,0,1,37.159000000000006,79.0
2020-02-24 22:35:39,40.26,6091,151291.6045702931,2334.8236462990562,0.27363,8.903128233702118,0,0,37.159000000000006,278.0
2020-02-26 23:42:10,41.28,6078,147238.37209302324,2713.178294573643,0.29239000000000004,6.85597339473013,0,0,37.1725,296.0
2020-02-28 21:43:19,19.05,3048,160000.0,2887.1391076115483,0.23731000000000002,-18.837853551763057,0,0,37.1725,120.0
2020-02-29 01:22:26,38.01,5284,139016.04840831363,3867.403314917128,0.23257,-1.9973873835910922,0,1,37.1725,508.0
2020-03-01 00:05:02,38.11,5521,144870.1128312779,341.1178168459722,0.23062000000000002,-0.8384572386808185,0,1,37.1725,169.0
2020-03-03 00:22:43,50.87,7088,139335.56123451938,3676.036956949086,0.24114,4.5616165120110885,0,1,37.1725,505.0
2020-03-08 02:00:56,41.65,6249,150036.0144057623,2617.046818727491,0.26922999999999997,11.648834701832952,0,0,37.186,226.0
2020-03-09 23:34:29,52.01,7379,141876.562199577,3633.916554508748,0.28098,4.364298183709111,0,1,37.186,318.0
2020-03-14 02:46:39,60.21,8670,143996.0139511709,4550.739079887062,0.29991,6.737134315609652,0,1,37.1995,337.0
2020-03-17 00:11:30,53.92,8143,151020.0296735905,3931.750741839762,0.33477999999999997,11.626821379747243,0,0,37.1995,418.0
2020-03-19 01:30:32,56.97,7945,139459.364577848,3457.9603299982446,0.35374,5.663420753927963,0,1,37.1995,625.0
2020-03-21 01:50:41,65.14,8837,135661.6518268345,521.9527172244397,0.38077000000000005,7.641205405099806,0,1,37.21300000000001,261.0
2020-03-22 03:09:29,43.02,5994,139330.54393305437,1208.740120874012,0.37292000000000003,-2.061611996743447,0,1,37.21300000000001,646.0
2020-03-24 01:29:26,60.18,8533,141791.29278830177,3406.447324692589,0.39145,4.968894132789871,0,1,37.21300000000001,568.0
2020-03-26 02:28:32,41.23,6077,147392.6752364783,2813.485326218773,0.38066999999999995,-2.7538638395708435,0,0,37.21300000000001,327.0
2020-03-28 03:19:30,63.79,8569,134331.39990594136,1410.8794481893715,0.38425,0.9404471064176394,0,1,37.2265,462.0
2020-04-07 00:49:49,53.38,7191,134713.37579617833,374.6721618583739,0.38371,-0.140533506831486,0,1,37.239999999999995,225.0
2020-04-09 01:26:22,63.8,7690,120532.91536050157,736.6771159874609,0.39054,1.7799900966876034,0,1,37.239999999999995,1193.0
2020-04-13 04:29:29,42.9,5734,133659.67365967366,442.8904428904429,0.3683,-5.694679162185687,0,1,37.2535,722.0
2020-04-15 00:35:24,63.67,9505,149285.3777289147,2340.1916130045547,0.38895,5.606842248167255,0,0,37.2535,375.0
2020-04-17 01:41:32,53.47,6990,130727.51075369367,1309.1453151299795,0.38224,-1.725157475253887,0,1,37.2535,620.0
2020-04-18 03:15:36,75.05,9341,124463.69087275151,626.2491672218522,0.41606,8.847844286312254,0,1,37.2535,895.0
2020-04-22 00:41:23,70.29,9432,134186.93982074264,469.4835680751173,0.42256,1.5622746719223204,0,1,37.266999999999996,284.0
2020-04-24 02:11:21,43.01,5384,125180.19065333644,883.5154615205767,0.41219,-2.4540893600908724,0,1,37.266999999999996,682.0
2020-04-25 03:24:51,80.81,11029,136480.63358495236,1311.7188466773914,0.4292,4.126737669521343,0,1,37.266999999999996,481.0
2020-04-27 01:31:56,54.74,7292,133211.5454877603,474.97259773474605,0.44104,2.7586206896551633,0,1,37.266999999999996,275.0
2020-04-28 23:32:19,53.46,7338,137261.5039281706,1141.0400299289188,0.43083,-2.314982768002902,0,1,37.2805,368.0
2020-04-30 00:34:25,43.05,5572,129430.8943089431,859.4657375145181,0.42041,-2.4185873778520497,0,1,37.2805,709.0
2020-05-02 00:51:52,100.12,13982,139652.41709948063,2317.219336795845,0.44548,5.963226374253701,0,1,37.2805,768.0
2020-05-04 02:36:45,53.4,6804,127415.73033707865,411.9850187265918,0.42859,-3.7914160007183173,0,1,37.2805,636.0
2020-05-06 00:49:27,53.38,7073,132502.81004121393,1629.8239040839264,0.43896,2.4195618189878414,0,1,37.294000000000004,514.0
2020-05-08 01:28:54,43.08,5724,132869.08077994428,1392.757660167131,0.40123,-8.595316201931848,0,1,37.294000000000004,522.0
2020-05-09 03:22:58,100.19,14059,140323.3855674219,1567.0226569517915,0.44668,11.327667422675287,0,1,37.294000000000004,755.0
2020-05-11 04:45:50,53.33,7112,133358.334895931,37.502343896493535,0.44655,-0.02910360884750134,0,1,37.294000000000004,259.0
2020-05-13 03:56:28,53.4,6905,129307.11610486892,74.90636704119851,0.4569,2.317769566677857,0,1,37.294000000000004,688.0
2020-05-14 00:44:11,53.34,6393,119853.76827896512,224.97187851518558,0.41012,-10.238564237251039,0,1,37.307500000000005,1241.0
2020-05-16 00:29:10,105.02,14347,136612.0738906875,199.9619120167587,0.46174,12.586560031210379,0,1,37.307500000000005,557.0
2020-05-18 04:35:36,53.4,6757,126535.58052434458,224.71910112359552,0.46176,0.004331441937025166,0,1,37.307500000000005,537.0
2020-05-20 04:57:24,53.27,6888,129303.54796320629,225.2675051623803,0.47195,2.2067740817740766,0,1,37.307500000000005,390.0
2020-05-22 01:08:38,43.1,5170,119953.59628770301,162.41299303944317,0.41486,-12.096620404703883,0,1,37.321,939.0
2020-05-25 00:49:37,53.43,6661,124667.78963129329,224.59292532285232,0.41496,0.0241045171865181,0,1,37.321,1115.0
2020-05-26 23:49:40,50.3,6340,126043.7375745527,298.2107355864811,0.41186,-0.7470599575862714,0,1,37.321,792.0
2020-05-29 03:08:22,48.24,5962,123590.38142620231,290.2155887230514,0.40676,-1.2382848540766263,0,1,37.334500000000006,977.0
2020-05-30 02:39:18,105.32,14759,140134.8271933156,835.5488036460312,0.40706,0.07375356475562173,0,1,37.334500000000006,708.0
2020-06-01 00:01:56,53.4,7020,131460.67415730338,93.63295880149813,0.40706,0.0,0,1,37.334500000000006,486.0
2020-06-06 02:05:12,74.06,9013,121698.62273832028,472.5897920604915,0.42785,5.107355181054398,0,1,37.348,1682.0
2020-06-08 04:07:25,53.37,6367,119299.23177815252,37.474236462432074,0.43811999999999995,2.4003739628374303,0,1,37.348,1385.0
2020-06-13 00:45:01,110.47,13250,119942.06571919979,452.6115687516973,0.49516,13.019264128549265,0,1,37.348,2428.0
2020-06-15 04:03:40,53.36,6582,123350.82458770616,74.96251874062969,0.49822,0.6179820664027803,0,1,37.36150000000001,1103.0
2020-06-17 01:02:35,53.39,6554,122757.07061247424,149.84079415620903,0.50337,1.0336799004455839,0,1,37.36150000000001,1115.0
2020-06-20 01:34:47,42.39,5461,128827.55366831801,306.6761028544468,0.44044,-12.501738283966066,0,1,37.36150000000001,942.190979003906
2020-06-27 00:57:16,53.21,6137,115335.46325878594,187.93459875963165,0.44025000000000003,-0.0431386795023086,0,1,37.375,1166.0
2020-07-07 04:12:00,53.34,6312,118335.20809898761,37.49531308586426,0.41953,-4.706416808631462,0,1,37.402,1093.0
2020-07-09 02:38:02,53.41,6179,115689.94570305187,243.4001123385134,0.41957,0.009534479059896668,0,1,37.402,1059.0
2020-07-11 02:55:55,63.74,7541,118308.75431440225,141.19861939127705,0.37284,-11.13759325023238,0,1,37.402,1339.0
2020-07-13 23:26:10,53.38,6470,121206.44436118395,93.66804046459347,0.37286,0.005364231305659264,0,1,37.402,1076.0
2020-07-16 00:54:58,53.34,6170,115673.04086989125,262.4671916010498,0.37281000000000003,-0.013409858928282597,0,1,37.41550000000001,1135.0
2020-10-17 00:37:05,62.35,6967,111740.1764234162,80.19246190858058,0.39277000000000006,5.353933639119131,0,1,37.712500000000006,1383.0
2022-05-09 23:11:34,60.1,7238,120432.61231281198,149.7504159733777,0.39966,1.754207296891298,0,1,40.102000000000004,1387.0
2022-05-12 00:29:08,60.97,7406,121469.5752009185,147.61358044940135,0.40729,1.9091227543411824,0,1,40.115500000000004,1284.0
2022-05-21 00:53:33,100.03,13632,136279.11626512045,1749.475157452764,0.45391,11.446389550443174,0,1,40.142500000000005,2178.0
2022-05-28 01:30:04,101.45,13432,132400.197141449,1567.2745194677182,0.49162000000000006,8.307814324425564,0,1,40.1695,2111.0
2022-05-30 23:26:07,60.96,7847,128723.7532808399,164.04199475065616,0.4992,1.5418412595093607,0,1,40.18300000000001,1358.0
2022-06-09 02:45:01,62.7,8687,138548.644338118,1866.0287081339711,0.50856,1.875000000000007,0,1,40.21,913.0
