Activity ID,Activity Type,Begin Timestamp,End Timestamp,Max. Elevation (Raw),Min. Elevation (Raw),Elevation Gain (Raw),Elevation Loss (Raw),Average Heart Rate (bpm),Max. Heart Rate (bpm).1,Average Moving Speed,Average Speed,Max. Speed,Distance (Raw),Duration (h:m:s),Moving Duration (h:m:s),Calories,Device,Begin Latitude (Decimal Degrees Raw),Begin Longitude (Decimal Degrees Raw),End Latitude (Decimal Degrees Raw),End Longitude (Decimal Degrees Raw),Temperature (Raw),Wind Speed (Raw),Wind Direction,Humidity (Raw),Condition,Rainfall,dow,hour_of_day,is_weekend,duration_s,pace_s_per_km,elev_gain_per_km,net_elev_change,start_end_dist_km,heat_index
2284658991,Running,2017-11-04 12:07:00,4/11/2017 13:06,472.6,472.6,315.0,314.0,182,113,6:47,6:47,4:55,8.66881,0:59:03,0:58:50,753,Vivoactive HR 4.0.0.0,48.01917837,7.856356334,48.01936948,7.855830872,13.9,11,S,77,fair,no,5,12,True,3543,408.7066160176541,36.33716738514283,1.0,0.04448563213890467,8.609000000000002
2284658936,Running,2017-11-03 09:47:00,3/11/2017 10:35,473.2,473.2,245.0,244.0,177,100,6:18,6:18,4:33,7.62835,0:48:00,0:48:02,626,Vivoactive HR 4.0.0.0,48.01785914,7.881881241,48.01941046,7.855921565,11.1,3,N,100,fair,no,4,9,False,2880,377.53904841807207,32.1170371050096,1.0,1.938494335474594,6.609999999999997
2228102647,Running,2017-10-25 16:31:00,25/10/2017 17:11,278.8,278.8,208.0,272.0,179,95,5:52,5:52,4:29,6.60755,0:39:18,0:38:44,528,Vivoactive HR 4.0.0.0,48.01839575,7.880602246,48.0193295,7.85592081,20.0,6,SSW,60,fair,no,2,16,False,2358,356.8644959175489,31.479141285347822,-64.0,1.838658165116275,14.520000000000003
2104984694,Running,2017-10-13 11:53:00,13/10/2017 12:41,471.6,471.6,246.0,244.0,180,109,6:11,6:11,4:27,7.75709,0:48:10,0:47:57,661,Vivoactive HR 4.0.0.0,48.01919396,7.856333787,48.01931215,7.855894491,17.2,5,SSO,72,fair,no,4,11,False,2890,372.56239130911206,31.712923274062828,2.0,0.03521718554976596,12.004000000000005
2084195352,Running,2017-10-02 14:51:00,2/10/2017 15:38,494.6,494.6,246.0,240.0,174,110,6:01,6:01,4:19,7.81321,0:47:40,0:47:04,619,Vivoactive HR 4.0.0.0,48.01911618,7.857145155,48.01937132,7.856066404,17.8,19,SW,77,mostly cloudy,no,0,14,False,2860,366.0467336728438,31.485138630601252,6.0,0.0851015029955204,12.898999999999997
2021230223,Running,2017-09-30 16:03:00,30/09/2017 16:51,481.6,481.6,239.0,249.0,176,101,5:59,5:59,4:31,7.90049,0:47:23,0:47:20,638,Vivoactive HR 4.0.0.0,48.01913797,7.856386928,48.01940686,7.855956601,20.0,14,NNW,64,mostly cloudy,no,5,16,True,2843,359.85109784329836,30.251288211237533,-10.0,0.04379897308983052,14.708000000000002
2006998728,Running,2017-09-27 12:29:00,27/09/2017 13:34,475.0,475.0,252.0,248.0,170,99,7:00,7:00,4:55,9.27718,1:04:57,1:04:53,821,Vivoactive HR 4.0.0.0,48.02231287,7.86245727,48.01916714,7.857074328,17.2,3,N,83,mostly clear,no,2,12,False,3897,420.06299328028564,27.163426817200918,4.0,0.5316327799823004,12.521000000000004
2006998614,Running,2017-09-22 15:36:00,22/09/2017 16:13,458.2,458.2,209.0,207.0,177,100,5:53,5:53,4:22,6.34478,0:37:38,0:37:22,515,Vivoactive HR 4.0.0.0,48.0193072,7.85659899,48.01940493,7.856179057,21.1,5,NNO,49,fair,no,4,15,False,2258,355.883103905888,32.940464444787686,2.0,0.033069472257041835,15.213000000000001
1988390950,Running,2017-09-16 12:33:00,16/09/2017 14:04,677.6,677.6,525.0,518.0,170,92,6:34,6:34,4:53,13.3789,1:30:22,1:27:56,"1,102",Vivoactive HR 4.0.0.0,48.00809657,7.89999688,48.01947584,7.856103955,13.9,16,NW,63,showers,yes,5,12,True,5422,405.2650068391273,39.240894243921396,7.0,3.5015448018700965,7.951000000000002
1971778346,Running,2017-09-10 13:45:00,10/9/2017 14:54,464.2,464.2,319.0,320.0,174,123,6:16,6:16,4:12,10.85331,1:08:37,1:07:58,941,Vivoactive HR 4.0.0.0,48.01607748,7.87986313,48.0194015,7.855888456,18.9,10,SSW,56,fair,no,6,13,True,4117,379.331282346123,29.39195508098451,-1.0,1.82109973504952,13.122000000000002
1959936581,Running,2017-09-05 15:32:00,5/9/2017 16:17,438.0,438.0,197.0,197.0,176,86,6:45,6:45,4:31,6.49227,0:44:22,0:43:50,668,Vivoactive HR 4.0.0.0,48.0203924,7.876742212,48.01947987,7.855915111,26.1,11,SSW,48,fair,no,1,15,False,2662,410.02607716561386,30.343778062218604,0.0,1.5523390092466673,20.666
1959936521,Running,2017-09-03 08:54:00,3/9/2017 9:33,448.4,448.4,218.0,214.0,170,92,7:35,7:35,4:27,5.16138,0:39:11,0:39:07,573,Vivoactive HR 4.0.0.0,48.01868803,7.858128436,48.01942136,7.855924163,11.1,6,SSW,87,mostly cloudy,no,6,8,True,2351,455.4983357164169,42.23676613618838,4.0,0.18310510053993187,5.998999999999997
1959936468,Running,2017-08-31 16:22:00,31/08/2017 17:00,463.2,463.2,212.0,207.0,173,96,5:49,5:49,3:41,6.29003,0:37:49,0:36:37,562,Vivoactive HR 4.0.0.0,48.01926822,7.856926974,48.01941264,7.855991051,17.2,8,WNW,83,mostly cloudy,no,3,16,False,2269,360.72959906391543,33.704131776795975,5.0,0.07143857068517254,12.521000000000004
1947513013,Running,2017-08-24 16:46:00,24/08/2017 17:16,194.0,194.0,3.0,3.0,135,75,5:29,5:29,4:53,5.4634,0:30:00,0:30:00,304,Vivoactive HR 3.90.0.0,48.01525472,7.534499969,48.01678249,7.535735797,23.9,11,S,50,showers,yes,3,16,False,1800,329.465168210272,0.5491086136837866,0.0,0.19315523189756126,18.340000000000003
1947512990,Running,2017-08-22 10:49:00,22/08/2017 11:47,201.6,201.6,28.0,25.0,168,129,5:21,5:21,4:21,10.76584,0:57:35,0:57:35,768,Vivoactive HR 3.90.0.0,48.01659582,7.535675867,48.0168192,7.535828585,21.1,5,N,56,fair,no,1,10,False,3455,320.92247330445184,2.600818886403662,3.0,0.0273128574118313,15.542
1947512894,Running,2017-08-21 17:25:00,21/08/2017 17:44,196.4,196.4,9.0,5.0,169,100,4:50,4:50,4:06,3.44782,0:18:16,0:16:40,226,Vivoactive HR 3.90.0.0,48.0163369,7.535798578,48.01680537,7.535721129,22.8,5,NNW,38,fair,no,0,17,False,1096,317.88202400357324,2.6103450876205834,4.0,0.052409047268912795,16.566
